City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,thomasville,US,74.21,broken clouds,35.8826,-80.082,Comfort Inn Thomasville I-85
237,massaguet,TD,78.84,overcast clouds,12.4755,15.4365,Alwatane
239,isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
241,sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
242,vorukh,TJ,71.29,scattered clouds,39.8494,70.5838,
244,bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
247,koungou,YT,78.51,broken clouds,-12.7336,45.2042,Villa Netibor
249,phan thiet,VN,79.38,overcast clouds,10.9333,108.1,Hotel Saigon-PT
250,marsh harbour,BS,79.45,broken clouds,26.5412,-77.0636,Abaco Beach Resort
255,bengkulu,ID,83.82,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
257,sao joao da barra,BR,70.23,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
258,mahina,PF,78.57,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
259,acapulco,MX,80.47,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
267,miramar,US,83.01,clear sky,25.9873,-80.2323,Miramar
269,bom jardim,BR,71.94,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
270,touros,BR,72.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
271,laem sing,TH,84.54,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
273,shenjiamen,CN,76.69,broken clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
276,sao felix do xingu,BR,71.35,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
277,kimbe,PG,83.53,light rain,-5.5502,150.1429,Kimbe Bay Hotel
278,airai,TL,71.89,broken clouds,-8.9266,125.4092,Juvinal Martin
284,emerald,AU,73.54,clear sky,-23.5333,148.1667,The Irish Village
286,kilindoni,TZ,77.95,light rain,-7.9139,39.6668,Bustani B&B
290,auki,SB,84.94,broken clouds,-8.7676,160.7034,Auki Motel
291,west bay,KY,82.0,few clouds,19.3667,-81.4167,Calypso Cove
293,sao filipe,CV,73.27,broken clouds,14.8961,-24.4956,Hotel Xaguate
295,yeppoon,AU,73.18,clear sky,-23.1333,150.7333,Villa Mar Colina
