City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Norman Wells,CA,2021-06-11 20:39:41,65.282,-126.8329,59.04,77,75,2.3
68,Nizhniy Chir,RU,2021-06-11 20:39:42,48.3597,43.0865,64.44,79,15,6.96
69,Tiksi,RU,2021-06-11 20:39:42,71.6872,128.8694,48.63,69,100,8.5
70,Suhbaatar,MN,2021-06-11 20:39:43,50.2314,106.2078,49.03,82,100,3.91
71,Saint-Philippe,RE,2021-06-11 20:39:43,-21.3585,55.7679,72.99,79,98,15.46
72,Bubaque,GW,2021-06-11 20:39:44,11.2833,-15.8333,80.2,81,100,12.1
73,San Jose,US,2021-06-11 20:35:22,37.3394,-121.895,81.77,36,20,1.99
74,Lucieni,RO,2021-06-11 20:39:44,44.85,25.4333,61.09,87,96,5.03
75,Chunoyar,RU,2021-06-11 20:39:45,57.4467,97.3217,39.31,70,6,3.42
76,Albany,US,2021-06-11 20:38:58,42.6001,-73.9662,74.44,66,100,2.1
77,Sao Joao Da Barra,BR,2021-06-11 20:36:55,-21.6403,-41.0511,75.29,88,60,6.2
78,Marawi,PH,2021-06-11 20:38:31,7.9986,124.2928,65.64,98,100,2.55
79,Barcelos,PT,2021-06-11 20:39:34,41.5388,-8.6151,75.34,69,82,9.26
80,Lebu,CL,2021-06-11 20:36:50,-37.6167,-73.65,56.82,90,68,3.69
81,Victoria,HK,2021-06-11 20:37:25,22.2855,114.1577,84.33,90,84,7.0
82,Mushie,CD,2021-06-11 20:39:47,-3.0167,16.9,82.06,41,88,1.74
83,The Pas,CA,2021-06-11 20:39:47,53.8251,-101.2541,55.42,100,90,11.5
84,Bengkulu,ID,2021-06-11 20:39:48,-3.8004,102.2655,75.06,86,91,3.83
85,Cabo San Lucas,MX,2021-06-11 20:38:39,22.8909,-109.9124,100.81,65,1,9.22
86,Lagoa,PT,2021-06-11 20:39:48,39.05,-27.9833,67.64,83,17,2.55
87,Castro,BR,2021-06-11 20:39:49,-24.7911,-50.0119,54.55,89,15,2.55
88,Kavaratti,IN,2021-06-11 20:39:50,10.5669,72.642,83.28,78,100,19.82
89,Dwarka,IN,2021-06-11 20:39:50,22.2394,68.9678,85.46,81,45,19.73
90,Avarua,CK,2021-06-11 20:39:50,-21.2078,-159.775,75.25,64,91,9.22
91,Nago,JP,2021-06-11 20:39:51,26.5881,127.9761,79.65,91,91,3.71
92,Cupertino,US,2021-06-11 20:39:51,37.323,-122.0322,81.23,38,20,1.99
93,Hilo,US,2021-06-11 20:39:52,19.7297,-155.09,80.8,64,20,8.05
94,Emba,KZ,2021-06-11 20:39:52,48.8264,58.1442,73.96,39,99,15.57
95,Coquimbo,CL,2021-06-11 20:39:16,-29.9533,-71.3436,63.3,65,33,4.63
96,Champerico,GT,2021-06-11 20:39:53,14.3,-91.9167,90.14,72,90,8.63
97,Ayan,RU,2021-06-11 20:39:54,56.45,138.1667,42.94,89,100,12.37
98,Codrington,AU,2021-06-11 20:39:54,-38.2667,141.9667,47.95,93,34,5.91
99,Yuncheng,CN,2021-06-11 20:39:54,35.0231,110.9928,76.42,60,100,6.53
100,Korla,CN,2021-06-11 20:39:11,41.7597,86.1469,71.73,37,86,1.57
101,Antalaha,MG,2021-06-11 20:39:55,-14.9003,50.2788,72.77,77,98,8.5
102,Plettenberg Bay,ZA,2021-06-11 20:39:56,-34.0527,23.3716,65.12,50,65,4.25
103,Severo-Kurilsk,RU,2021-06-11 20:36:44,50.6789,156.125,49.21,76,100,5.53
104,General Pico,AR,2021-06-11 20:39:56,-35.6566,-63.7568,60.44,49,5,8.97
105,Saskylakh,RU,2021-06-11 20:39:57,71.9167,114.0833,38.55,74,98,15.55
106,Bredasdorp,ZA,2021-06-11 20:39:57,-34.5322,20.0403,51.12,93,100,3.44
107,Guerrero Negro,MX,2021-06-11 20:36:49,27.9769,-114.0611,70.45,58,3,22.21
108,Cape Town,ZA,2021-06-11 20:36:43,-33.9258,18.4232,63.12,61,0,5.75
109,Luau,AO,2021-06-11 20:39:58,-10.7073,22.2247,61.59,45,6,6.53
110,Qaanaaq,GL,2021-06-11 20:39:58,77.484,-69.3632,39.92,76,94,4.85
111,Bethel,US,2021-06-11 20:37:37,41.3712,-73.414,77.34,48,1,9.22
112,Hofn,IS,2021-06-11 20:39:59,64.2539,-15.2082,45.97,57,55,21.54
113,Holland,US,2021-06-11 20:39:59,42.7875,-86.1089,91.72,58,48,6.98
114,Sur,OM,2021-06-11 20:40:00,22.5667,59.5289,85.8,73,0,9.37
115,Kaitangata,NZ,2021-06-11 20:37:51,-46.2817,169.8464,38.84,87,2,4.18
116,Pacific Grove,US,2021-06-11 20:39:13,36.6177,-121.9166,81.57,56,1,4.0
117,Mukhen,RU,2021-06-11 20:40:01,48.1,136.1,60.57,99,100,3.22
118,Payo,ID,2021-06-11 20:40:02,-3.7508,103.6372,71.31,93,97,1.57
119,Kloulklubed,PW,2021-06-11 20:40:02,7.0419,134.2556,77.5,73,98,10.31
120,Pevek,RU,2021-06-11 20:40:04,69.7008,170.3133,33.84,87,22,6.22
121,Belyy Yar,RU,2021-06-11 20:40:04,53.6039,91.3903,46.29,66,0,4.47
122,Kodiak,US,2021-06-11 20:37:39,57.79,-152.4072,49.51,81,90,6.91
123,Jaguaruna,BR,2021-06-11 20:40:05,-28.615,-49.0256,59.34,78,62,10.8
124,Sitka,US,2021-06-11 20:40:06,57.0531,-135.33,55.29,76,75,6.91
125,Talnakh,RU,2021-06-11 20:40:07,69.4865,88.3972,34.12,100,100,4.27
126,Kushikino,JP,2021-06-11 20:39:13,31.7167,130.2667,72.09,97,100,6.13
127,Tubmanburg,LR,2021-06-11 20:40:07,6.8708,-10.8172,75.38,91,100,1.5
128,Boysun,UZ,2021-06-11 20:40:08,38.2061,67.1986,73.27,27,0,11.14
129,Mecca,SA,2021-06-11 20:40:08,21.4267,39.8261,90.45,30,26,4.68
130,Balabac,PH,2021-06-11 20:40:09,7.9868,117.0645,82.4,75,99,8.03
131,Naron,ES,2021-06-11 20:40:10,43.5167,-8.1528,67.05,85,1,14.2
132,Acapulco,MX,2021-06-11 20:39:27,16.8634,-99.8901,82.22,78,90,4.61
133,Tuatapere,NZ,2021-06-11 20:40:10,-46.1333,167.6833,43.57,87,2,5.53
134,Poum,NC,2021-06-11 20:40:11,-20.2333,164.0167,75.43,77,100,22.75
135,Hami,CN,2021-06-11 20:40:11,42.8,93.45,79.27,28,100,11.97
136,Dalmatovo,RU,2021-06-11 20:40:12,56.26,62.9362,57.96,56,82,3.62
137,Montepuez,MZ,2021-06-11 20:40:12,-13.1256,38.9997,65.34,70,64,6.98
138,Saint George,US,2021-06-11 20:36:50,37.1041,-113.5841,95.47,6,1,1.99
139,The Valley,AI,2021-06-11 20:35:25,18.217,-63.0578,82.81,89,75,9.22
140,Tura,IN,2021-06-11 20:39:21,25.5198,90.2201,73.42,97,100,3.53
141,Usinsk,RU,2021-06-11 20:40:13,65.9939,57.5281,63.12,42,98,12.01
142,La Ronge,CA,2021-06-11 20:40:14,55.1001,-105.2842,55.65,94,90,9.22
143,Senno,RU,2021-06-11 20:40:15,59.5336,33.9167,54.27,73,100,4.21
144,Saldanha,ZA,2021-06-11 20:37:28,-33.0117,17.9442,51.85,82,98,6.91
145,Puerto Colombia,CO,2021-06-11 20:40:15,10.9878,-74.9547,89.69,78,69,14.12
146,Zyryanovsk,KZ,2021-06-11 20:40:16,49.7386,84.2719,50.23,90,99,3.44
147,Axim,GH,2021-06-11 20:40:16,4.8699,-2.2405,79.9,82,19,9.6
148,Teguldet,RU,2021-06-11 20:40:16,57.3064,88.1667,39.4,70,2,3.78
149,Carnarvon,AU,2021-06-11 20:40:17,-24.8667,113.6333,57.27,66,83,5.75
150,Leningradskiy,RU,2021-06-11 20:40:17,69.3833,178.4167,34.18,90,62,4.79
151,Launceston,AU,2021-06-11 20:40:18,-41.45,147.1667,53.24,88,90,1.99
152,Sioux City,US,2021-06-11 20:39:12,42.5,-96.4003,82.31,58,20,8.99
153,Hobart,AU,2021-06-11 20:40:18,-42.8794,147.3294,56.01,96,90,3.0
154,Anloga,GH,2021-06-11 20:40:19,5.7947,0.8973,80.82,80,99,15.64
155,Lake City,US,2021-06-11 20:39:17,30.1897,-82.6393,94.75,43,40,13.8
156,Colonia,DE,2021-06-11 20:36:04,50.9333,6.95,71.82,71,0,0.0
157,Sao Filipe,CV,2021-06-11 20:40:20,14.8961,-24.4956,73.31,85,67,4.45
158,Arraial Do Cabo,BR,2021-06-11 20:40:20,-22.9661,-42.0278,73.36,88,75,9.22
159,Nata,PA,2021-06-11 20:40:21,8.3333,-80.5167,84.07,70,75,4.65
160,Cooma,AU,2021-06-11 20:40:21,-36.2333,149.1333,46.17,70,90,13.8
161,Istisu,AZ,2021-06-11 20:40:21,40.9457,48.0738,61.47,85,30,3.65
