City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,high level,CA,58.5169,-117.136,57.31,82,40,2.3,light rain
82,upernavik,GL,72.7868,-56.1549,34.54,94,88,8.68,overcast clouds
83,faanui,PF,-16.4833,-151.75,79.09,80,52,16.46,broken clouds
84,antofagasta,CL,-23.65,-70.4,60.08,86,41,1.19,scattered clouds
85,kavieng,PG,-2.5744,150.7967,83.35,75,12,14.65,light rain
86,buraydah,SA,26.326,43.975,77.45,12,0,14.23,clear sky
87,pilar,BR,-9.5972,-35.9567,69.73,92,20,2.04,few clouds
88,jamestown,US,42.097,-79.2353,67.59,98,59,4.65,broken clouds
89,mount isa,AU,-20.7333,139.5,78.57,12,0,6.91,clear sky
90,tilichiki,RU,60.4667,166.1,49.71,69,96,2.44,overcast clouds
91,kruisfontein,ZA,-34.0033,24.7314,60.75,38,76,8.28,broken clouds
92,saint george,US,37.1041,-113.5841,88.39,4,1,9.22,clear sky
93,biak,ID,-0.9131,122.8766,83.1,71,97,5.12,overcast clouds
94,vardo,NO,70.3705,31.1107,64.38,55,0,9.22,clear sky
95,hilo,US,19.7297,-155.09,80.33,69,1,9.22,clear sky
96,taltal,CL,-25.4,-70.4833,58.69,77,31,1.7,scattered clouds
97,mtwara,TZ,-10.2667,40.1833,69.13,94,20,16.11,few clouds
98,fallon,US,39.4735,-118.7774,80.47,19,75,9.22,broken clouds
99,mayumba,GA,-3.432,10.6554,75.29,94,39,0.54,scattered clouds
100,illapel,CL,-31.6308,-71.1653,64.62,23,13,1.52,few clouds
101,chokurdakh,RU,70.6333,147.9167,65.34,25,31,15.5,scattered clouds
102,menomonie,US,44.8755,-91.9193,77.77,68,1,6.91,clear sky
103,ahipara,NZ,-35.1667,173.1667,62.4,81,100,6.69,overcast clouds
104,husavik,IS,66.0449,-17.3389,37.31,95,100,19.53,overcast clouds
105,la maddalena,IT,41.2142,9.4083,60.85,74,28,5.1,scattered clouds
106,tuatapere,NZ,-46.1333,167.6833,54.27,83,84,4.56,broken clouds
107,duyun,CN,26.2667,107.5167,80.92,73,78,3.83,broken clouds
108,derzhavinsk,KZ,51.1,66.3167,68.25,30,17,14.54,few clouds
109,guarapari,BR,-20.6667,-40.4975,69.69,94,98,10.76,overcast clouds
110,yining,CN,29.0361,114.5636,88.57,63,98,0.87,overcast clouds
111,papagaios,BR,-19.4492,-44.7478,65.64,80,100,1.36,overcast clouds
112,san cristobal,VE,7.7669,-72.225,64.44,97,20,4.16,few clouds
113,nemuro,JP,43.3236,145.575,68.43,93,100,23.31,overcast clouds
114,forestville,US,38.8451,-76.875,67.66,96,90,12.66,overcast clouds
115,dwarka,IN,22.2394,68.9678,86.99,76,21,17.58,few clouds
116,kodiak,US,57.79,-152.4072,53.11,76,1,6.91,clear sky
117,bayburt,TR,40.2589,40.2278,55.11,78,31,1.28,scattered clouds
118,san rafael,AR,-34.6177,-68.3301,56.16,34,3,7.56,clear sky
119,belyy yar,RU,53.6039,91.3903,57.09,47,0,13.42,clear sky
120,turgenevo,RU,54.8455,46.3297,61.68,90,99,5.44,overcast clouds
121,geraldton,AU,-28.7667,114.6,68.13,88,90,6.91,overcast clouds
122,laela,TZ,-8.5667,32.05,49.98,94,7,4.27,clear sky
123,maple valley,US,47.3927,-122.0464,58.08,93,90,5.75,overcast clouds
124,morondava,MG,-20.2833,44.2833,66.72,73,5,8.28,clear sky
125,los llanos de aridane,ES,28.6585,-17.9182,69.55,33,0,10.36,clear sky
126,tocopilla,CL,-22.092,-70.1979,61.03,72,22,1.3,few clouds
127,ternate,ID,0.8,127.4,84.15,69,98,4.9,overcast clouds
128,vaini,TO,-21.2,-175.2,75.36,69,20,10.36,few clouds
129,rumoi,JP,43.9344,141.6428,63.43,90,100,12.24,overcast clouds
130,yulara,AU,-25.2406,130.9889,73.24,15,12,11.5,few clouds
131,grand-santi,GF,4.25,-54.3833,70.95,99,100,1.3,overcast clouds
132,hermanus,ZA,-34.4187,19.2345,57.9,67,98,2.37,overcast clouds
133,nome,US,64.5011,-165.4064,48.16,87,90,12.66,overcast clouds
134,kaitangata,NZ,-46.2817,169.8464,52.93,69,6,2.71,clear sky
135,nuuk,GL,64.1835,-51.7216,39.81,81,90,1.14,overcast clouds
136,ostrov,RU,57.3439,28.3537,51.53,85,6,3.04,clear sky
137,iqaluit,CA,63.7506,-68.5145,31.73,93,75,15.99,broken clouds
138,narsaq,GL,60.9167,-46.05,43.02,82,94,2.98,overcast clouds
139,sierra vista,US,31.5545,-110.3037,88.74,9,1,10.36,clear sky
140,tuktoyaktuk,CA,69.4541,-133.0374,51.8,71,75,9.22,broken clouds
141,tamandare,BR,-8.7597,-35.1047,73.9,83,20,7.18,few clouds
142,urumqi,CN,43.801,87.6005,70.75,43,0,6.71,clear sky
143,maceio,BR,-9.6658,-35.7353,71.04,94,40,3.44,scattered clouds
144,kano,NG,12.0001,8.5167,80.49,74,0,11.5,clear sky
145,mahebourg,MU,-20.4081,57.7,75.49,73,75,13.8,broken clouds
146,east london,ZA,-33.0153,27.9116,68.94,42,0,11.5,clear sky
147,raudeberg,NO,61.9875,5.1352,50.2,95,100,20.31,overcast clouds
148,lincoln,US,40.8,-96.667,78.24,75,75,8.05,broken clouds
149,druzhba,UA,52.0428,33.9453,58.06,92,98,5.73,light rain
150,huron,US,41.1501,-82.5499,72.84,94,2,6.29,clear sky
151,znamenskoye,RU,57.1281,73.8282,64.04,44,98,6.96,overcast clouds
152,atambua,ID,-9.1061,124.8925,83.61,58,38,2.55,scattered clouds
153,karacakoy,TR,41.4029,28.3834,68.68,83,21,5.08,few clouds
154,vilhena,BR,-12.7406,-60.1458,63.19,97,49,3.78,scattered clouds
155,butaritari,KI,3.0707,172.7902,83.25,72,43,8.48,scattered clouds
156,vestmanna,FO,62.1564,-7.1664,45.52,93,90,20.71,overcast clouds
157,cherskiy,RU,68.75,161.3,49.5,44,15,9.64,few clouds
158,mormugao,IN,15.4,73.8,81.66,94,75,10.36,broken clouds
159,harper,LR,4.375,-7.7169,77.34,86,88,5.28,overcast clouds
160,victoria point,AU,-27.5833,153.3,73.18,53,1,3.0,clear sky
161,nabire,ID,-3.3667,135.4833,84.31,71,67,5.39,broken clouds
162,shimoda,JP,34.6667,138.95,82.17,66,93,9.08,overcast clouds
163,telc,CZ,49.1842,15.4528,58.3,92,91,4.72,overcast clouds
164,georgetown,MY,5.4112,100.3354,89.53,70,20,4.0,few clouds
165,tupik,RU,54.4253,119.9327,76.5,40,96,2.44,overcast clouds
166,ntungamo,UG,-0.8833,29.65,61.77,75,90,3.69,overcast clouds
167,castro,BR,-24.7911,-50.0119,47.43,91,0,1.68,clear sky
168,thinadhoo,MV,0.5333,72.9333,83.66,73,61,10.92,broken clouds
169,yerbogachen,RU,61.2767,108.0108,54.5,45,61,9.46,broken clouds
170,paranagua,BR,-25.52,-48.5092,60.49,97,84,1.3,broken clouds
171,kamloops,CA,50.6665,-120.3192,63.59,51,75,1.01,broken clouds
172,lebu,CL,-37.6167,-73.65,54.34,94,86,3.15,overcast clouds
173,alvorada,BR,-12.48,-49.1247,78.22,46,100,4.21,overcast clouds
174,arari,BR,-3.4536,-44.78,71.69,98,12,3.6,few clouds
175,port blair,IN,11.6667,92.75,84.24,79,75,12.66,mist
176,anadyr,RU,64.75,177.4833,39.7,93,90,8.01,light rain
177,pimentel,PE,-6.8367,-79.9342,66.0,84,23,4.0,few clouds
178,camacha,PT,33.0833,-16.3333,66.96,82,40,14.97,scattered clouds
179,bantry,IE,51.6833,-9.45,53.08,91,47,3.67,scattered clouds
180,khatanga,RU,71.9667,102.5,44.91,47,100,1.54,overcast clouds
181,boshnyakovo,RU,49.6333,142.1667,59.7,74,100,10.78,overcast clouds
182,alofi,NU,-19.0595,-169.9187,76.89,53,71,19.57,broken clouds
183,raymondville,US,26.4815,-97.7831,83.28,85,14,10.6,few clouds
184,hamilton,US,39.1834,-84.5333,75.58,94,20,0.0,few clouds
185,cosala,MX,24.4125,-106.6908,79.11,78,78,2.26,broken clouds
186,thunder bay,CA,48.4001,-89.3168,58.98,96,90,12.66,mist
187,mount gambier,AU,-37.8333,140.7667,58.91,72,100,8.05,overcast clouds
188,lodwar,KE,3.1191,35.5973,77.25,61,88,11.99,overcast clouds
189,borger,NL,52.9233,6.7931,62.89,92,100,8.19,overcast clouds
190,poya,NC,-21.35,165.15,77.58,63,100,1.68,light rain
191,vung tau,VN,10.346,107.0843,78.58,80,100,18.41,overcast clouds
192,hithadhoo,MV,-0.6,73.0833,83.01,74,24,11.12,few clouds
193,homer,US,59.6425,-151.5483,62.08,76,1,11.5,clear sky
194,okato,NZ,-39.2,173.8833,61.43,85,43,5.12,scattered clouds
195,caborca,MX,30.5838,-111.101,85.5,9,1,5.68,clear sky
196,jumla,NP,29.2747,82.1838,69.15,70,100,4.38,overcast clouds
197,chara,RU,56.9064,118.2631,47.61,86,100,6.67,light rain
198,kiunga,PG,-6.1219,141.2906,87.75,61,73,3.2,broken clouds
199,avarua,CK,-21.2078,-159.775,73.45,64,75,5.75,light rain
200,nur,PL,52.6683,22.3221,53.78,85,62,3.4,broken clouds
